"Enriched_in"	"Ontology_type"	"Ontology_accession"	"Ongology_description"	"Count_query"	"Count_universe"	"%_query"	"%_universe"	"pval"	"adjpval"	"fold_change"	"Proteins_in_query"
"NA.4041"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4042"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4043"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4044"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4045"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4046"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4047"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4049"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4051"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4052"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4053"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4054"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4055"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4056"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4057"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4058"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4059"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4060"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4061"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4062"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4063"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4064"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4065"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4066"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4067"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4068"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4069"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4070"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4071"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4072"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4073"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4074"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4075"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4076"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4077"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4078"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4079"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4080"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4081"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4082"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4083"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4084"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4085"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4086"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4087"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4088"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4089"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4090"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4091"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4092"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4093"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4094"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4095"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4096"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4097"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4098"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4099"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4101"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4102"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4103"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4104"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4105"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4106"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4108"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4109"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4110"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4111"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4112"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4113"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4114"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4115"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4116"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4117"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4118"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4119"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4120"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4121"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4122"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4123"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4124"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4125"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4126"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4127"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4128"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4129"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4130"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4131"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4132"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4133"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4134"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4135"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4136"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4137"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4138"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4139"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4140"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4141"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4143"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4144"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4145"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4146"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4147"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4148"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4149"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4150"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4151"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4152"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4153"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4154"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4155"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4156"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4157"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4158"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4159"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4160"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4161"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4162"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4163"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4164"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4165"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4166"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4167"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4168"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4169"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4170"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4171"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4172"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4173"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4174"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4175"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4176"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4177"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4178"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4179"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4181"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4183"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4184"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4185"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4186"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4187"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4188"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4189"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4190"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4191"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4192"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4193"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4194"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4195"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4196"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4197"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4198"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4199"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4202"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4203"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4204"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4205"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4206"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4207"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4208"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4209"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4210"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4211"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4212"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4213"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4214"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4215"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4216"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4217"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4218"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4219"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4220"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4221"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4222"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4223"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4224"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4225"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4226"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4227"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4228"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4229"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4231"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4232"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4233"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4234"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4235"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4236"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4237"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4238"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4239"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4240"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4241"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4242"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4243"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4244"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4245"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4246"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4247"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4248"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4249"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4250"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4252"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4253"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4256"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4257"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4258"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4259"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4260"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4261"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4262"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4263"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4264"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4265"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4266"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4267"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4268"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4269"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4270"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4271"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4272"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4273"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4274"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4275"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4276"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4277"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4278"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4279"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4280"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4281"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4282"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4283"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4284"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4285"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4286"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4287"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4288"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4289"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4290"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4291"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4292"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4293"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4294"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4295"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4296"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4297"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4298"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4299"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4300"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4302"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4303"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4304"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4305"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4306"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4307"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4308"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4309"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4310"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4311"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4312"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4313"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4314"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4315"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4316"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4317"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4318"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4321"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4322"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4323"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4324"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4325"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4326"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4327"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4328"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4329"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4330"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4331"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4332"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4333"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4335"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4337"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4338"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4339"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4341"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4342"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4343"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4344"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4345"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4346"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4347"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4348"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4349"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4350"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4351"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4352"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4353"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4354"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4355"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NA.4356"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
